02	FAI3997003	1	02422	1	0.75	0.75		02	0	0		0			0	07:38:38	
02	FAI3997003	2	04780	1	1.55	1.55		05	0	0		0			0	07:38:38	
02	FAI3997004	1	04777	1	1.50	1.50		04	0	0		0			0	07:39:46	
02	FAI3997004	2	04222	1	1.50	1.50		02	0	0		0			0	07:39:46	
02	FAI3997004	3	02422	1	0.75	0.75		02	0	0		0			0	07:39:46	
02	FAI3997005	1	06497	1	2.15	2.15		05	0	0		0			0	07:41:27	
02	FAI3997005	2	04222	1	1.50	1.50		02	0	0		0			0	07:41:27	
02	FAI3997005	3	03215	2	0.75	1.50		02	0	0		0			0	07:41:27	
02	FAI3997006	1	05516	1	1.00	1.00	004313105056	05	0	0		0			0	07:43:58	
02	FAI3997006	2	03215	2	0.75	1.50		02	0	0		0			0	07:43:58	
02	FAI3997006	3	02465	1	0.75	0.75		02	0	0		0			0	07:43:58	
02	FAI3997007	1	05624	1	1.25	1.25	7451081810287	05	0	0		0			0	07:44:09	
02	FAI3997007	2	02379	1	0.75	0.75		02	0	0		0			0	07:44:09	
02	FAI3997007	3	01343	1	0.85	0.85		01	0	0		0			0	07:44:09	
02	FAI3997007	4	03244	2	1.65	3.30		03	0	0		0			0	07:44:09	
02	FAI3997008	1	04222	1	1.50	1.50		02	0	0		0			0	07:45:45	
02	FAI3997008	2	02392	1	0.95	0.95		02	0	0		0			0	07:45:45	
02	FAI3997008	3	04774	1	1.50	1.50		04	0	0		0			0	07:45:45	
02	FAI3997009	1	04764	1	1.25	1.25		04	0.19	15.00	06	0			0	07:46:59	
02	FAI3997009	2	04222	1	1.50	1.50		02	0.23	15.00	06	0			0	07:46:59	
02	FAI3997010	1	04222	1	1.50	1.50		02	0	0		0			0	07:48:56	
02	FAI3997010	2	02422	2	0.75	1.50		02	0	0		0			0	07:48:56	
02	FAI3997010	3	04774	1	1.50	1.50		04	0	0		0			0	07:48:56	
02	FAI3997010	4	03264	1	1.95	1.95		03	0	0		0			0	07:48:56	
02	FAI3997011	1	04777	1	1.50	1.50		04	0	0		0			0	07:50:48	
02	FAI3997011	2	04231	1	1.25	1.25		02	0	0		0			0	07:50:48	
02	FAI3997012	1	03244	1	1.65	1.65		03	0	0		0			0	07:52:13	
02	FAI3997012	2	05684	1	1.00	1.00	024000501213	05	0	0		0			0	07:52:13	
02	FAI3997013	1	04786	1	1.25	1.25		05	0	0		0			0	07:52:51	
02	FAI3997013	2	01691	1	1.25	1.25		01	0	0		0			0	07:52:51	
02	FAI3997014	1	05086	1	1.45	1.45		05	0	0		0			0	07:53:54	
02	FAI3997015	1	05073	1	1.15	1.15		05	0	0		0			0	07:55:02	
02	FAI3997015	2	02422	4	0.75	3.00		02	0	0		0			0	07:55:02	
02	FAI3997015	3	02465	2	0.75	1.50		02	0	0		0			0	07:55:02	
02	FAI3997016	1	02422	2	0.75	1.50		02	0	0		0			0	07:57:21	
02	FAI3997016	2	06488	1	2.15	2.15		05	0	0		0			0	07:57:21	
02	FAI3997017	1	03263	1	1.50	1.50		03	0	0		0			0	07:59:38	
02	FAI3997018	1	04774	1	1.50	1.50		04	0.23	15.00	06	0			0	07:59:55	
02	FAI3997019	1	03215	3	0.75	2.25		02	0	0		0			0	08:04:31	
02	FAI3997019	2	02465	1	0.75	0.75		02	0	0		0			0	08:04:31	
02	FAI3997019	3	02422	1	0.75	0.75		02	0	0		0			0	08:04:31	
02	FAI3997019	4	04773	1	1.75	1.75		04	0	0		0			0	08:04:31	
02	FAI3997020	1	03244	1	1.65	1.65		03	0	0		0			0	08:06:41	
02	FAI3997020	2	02465	1	0.75	0.75		02	0	0		0			0	08:06:41	
02	FAI3997020	3	02422	1	0.75	0.75		02	0	0		0			0	08:06:41	
02	FAI3997021	1	02465	2	0.75	1.50		02	0	0		0			0	08:10:40	
02	FAI3997021	2	02422	2	0.75	1.50		02	0	0		0			0	08:10:40	
02	FAI3997021	3	05073	1	1.15	1.15		05	0	0		0			0	08:10:40	
02	FAI3997022	1	02465	5	0.75	3.75		02	0	0		0			0	08:12:58	
02	FAI3997022	2	02422	5	0.75	3.75		02	0	0		0			0	08:12:58	
02	FAI3997022	3	03244	1	1.65	1.65		03	0	0		0			0	08:12:58	
02	FAI3997023	1	06488	1	2.15	2.15		05	0	0		0			0	08:13:03	
02	FAI3997023	2	02465	2	0.75	1.50		02	0	0		0			0	08:13:03	
02	FAI3997024	1	02465	3	0.75	2.25		02	0	0		0			0	08:14:58	
02	FAI3997024	2	03215	1	0.75	0.75		02	0	0		0			0	08:14:58	
02	FAI3997024	3	04222	1	1.50	1.50		02	0	0		0			0	08:14:58	
02	FAI3997024	4	05072	1	1.95	1.95		05	0	0		0			0	08:14:58	
02	FAI3997025	1	02515	1	0.70	0.70		02	0	0		0			0	08:16:07	
02	FAI3997025	2	02422	1	0.75	0.75		02	0	0		0			0	08:16:07	
